Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória,Hat-Tricks,Chelems
Rodrigo Sampaio,0,1,1,57,12,2,6,4,18,30,4,3,19,2,2013/1,2014/3,2.71,4.75,28.5,0,0
Carlos Cunha,0,2,2,56,13,1,4,8,23,38,1,3,7,0,2008/3,2012/2,8,4.31,56,0,0
Eduardo Lacerda,2,1,3,54,12,2,6,4,16,28,2,3,13,0,2013/1,2016/2,4.15,4.5,27,1,1
Bruno Ramos,0,0,0,47,5,2,0,3,10,23,0,0,16,0,2016/1,2018/1,2.94,9.4,23.5,0,0
Bruno Almeida,0,1,1,44,6,3,1,2,12,27,0,3,8,0,2013/2,2014/1,5.5,7.33,14.67,0,0
Rodrigo Vicente,1,1,2,44,11,5,1,5,14,21,2,2,12,4,2012/2,2014/1,2.75,4,8.8,0,0
Danyel Albuquerque,1,0,1,42,7,5,1,1,10,20,3,3,9,0,2013/3,2014/3,4.67,6,8.4,0,0
Alex Comerlato,0,0,0,41,11,4,5,2,15,19,2,2,4,0,2018/3,2023/2,10.25,3.73,10.25,1,1
Eder Luiz,0,1,1,41,9,2,4,3,16,30,2,0,7,0,2012/3,2019/2,5.86,4.56,20.5,0,0
Eduardo Pehls,0,1,1,41,7,0,5,2,10,24,2,2,10,0,2012/3,2014/2,4.1,5.86,N/A,0,0
Yoichi Uehara,0,0,0,41,3,1,1,1,10,23,0,2,8,1,2012/3,2015/1,4.56,13.67,41,0,0
Felipe Fargnolli,0,2,2,40,5,0,1,4,9,25,0,2,2,1,2015/3,2018/2,13.33,8,N/A,0,0
Renan Costa,0,1,1,40,0,0,0,0,1,8,0,0,21,2,2016/1,2017/1,1.74,N/A,N/A,0,0
Juliano Flores,0,0,0,39,1,1,0,0,2,13,0,0,7,0,2019/2,2021/3,5.57,39,39,0,0
Fernando Passos,0,1,1,38,10,0,4,6,21,33,1,2,1,0,2020/3,2022/1,38,3.8,N/A,0,0
Isabel Costa,0,1,1,38,2,1,0,1,4,14,0,0,3,0,2020/3,2023/3,12.67,19,38,0,0
Romulo Silveira,1,0,1,38,11,4,5,2,15,24,4,4,12,0,2013/1,2014/2,3.17,3.45,9.5,1,0
Marcelo Lopes,0,1,1,37,6,3,2,1,13,22,2,2,3,1,2015/3,2020/1,9.25,6.17,12.33,1,1
Marcio Battistin,0,0,0,37,2,0,0,2,4,9,0,0,8,0,2012/1,2013/3,4.63,18.5,N/A,0,0
Robert Johen,0,0,0,35,4,1,0,3,9,16,0,0,4,0,2023/1,2024/1,8.75,8.75,35,0,0
Alexandre Reys,0,0,0,33,1,0,0,1,2,8,0,0,6,0,2017/3,2019/3,5.5,33,N/A,0,0
Daniel Shinji,0,2,2,32,5,1,1,3,10,21,2,3,6,1,2012/2,2014/2,4.57,6.4,32,0,0
Gabriel Pedreschi,0,0,0,31,4,1,0,3,5,12,0,0,10,1,2012/2,2016/2,2.82,7.75,31,0,0
William Cairo,0,1,1,31,3,2,0,1,9,13,2,1,13,0,2013/2,2018/3,2.38,10.33,15.5,0,0
Daniel Balsa,0,0,0,30,0,0,0,0,2,12,0,0,7,1,2018/2,2019/1,3.75,N/A,N/A,0,0
Daniel Machado,2,1,3,30,14,5,8,1,20,21,4,2,7,0,2016/3,2019/3,4.29,2.14,6,1,0
Eduardo Bruch,0,0,0,30,1,0,0,1,2,13,0,0,5,0,2013/2,2016/1,6,30,N/A,0,0
Eliezer Meletti,0,0,0,30,3,1,1,1,4,12,0,0,5,0,2020/2,2021/1,6,10,30,0,0
Jota Junior,0,0,0,30,1,0,0,1,1,3,0,0,19,0,2018/2,2021/2,1.58,30,N/A,0,0
Ricardo Rossi,0,0,0,30,1,1,0,0,2,7,0,0,5,0,2009/2,2009/3,6,30,30,0,0
Diego Acebedo,1,0,1,29,15,7,7,1,17,20,8,2,7,0,2018/2,2019/3,4.14,1.93,4.14,1,0
Tiago Dias,0,0,0,29,5,2,2,1,6,9,2,3,15,1,2015/3,2017/3,1.81,5.8,14.5,1,0
Bruno Peres,0,0,0,27,4,0,0,4,7,18,0,0,4,0,2014/3,2015/2,6.75,6.75,N/A,0,0
Jamerson Aguiar,0,2,2,27,7,4,0,3,8,15,2,2,3,0,2013/3,2015/1,9,3.86,6.75,1,0
Andre Neves,0,0,0,26,5,1,2,2,5,14,0,1,7,0,2010/3,2012/2,3.71,5.2,26,0,0
Igor Napol,1,0,1,26,12,4,6,2,14,19,6,9,6,1,2015/3,2017/3,3.71,2.17,6.5,3,0
Boris Vaz,0,0,0,25,3,0,1,2,9,19,0,0,4,0,2016/2,2017/3,6.25,8.33,N/A,0,0
Helder Cunha,0,0,0,25,1,0,1,0,1,3,0,0,2,0,2023/1,2025-1,12.5,25,N/A,0,0
Luis Morais,0,0,0,25,0,0,0,0,1,7,0,0,8,1,2010/2,2011/1,2.78,N/A,N/A,0,0
Matheus Bercot,2,1,3,25,15,11,3,1,18,19,11,10,6,0,2016/1,2016/2,4.17,1.67,2.27,7,3
Rodrigo Lepri,0,0,0,25,3,1,0,2,7,16,0,1,0,0,2022/2,2022/3,0,8.33,25,0,0
Cleber Cavalcante,0,1,1,24,1,0,1,0,3,6,0,0,9,2,2015/2,2016/1,2.18,24,N/A,0,0
Daniel Vieira,0,0,0,24,3,1,1,1,6,12,0,0,4,0,2015/3,2017/1,6,8,24,0,0
Fabio Nilo,0,1,1,24,4,1,3,0,6,12,0,2,5,0,2016/1,2020/3,4.8,6,24,0,0
Ricardo Martins,0,0,0,24,4,2,1,1,7,9,1,2,11,0,2016/1,2016/3,2.18,6,12,1,1
Daniel Cruz,0,2,2,23,2,0,1,1,3,11,2,0,7,1,2015/1,2018/1,2.88,11.5,N/A,0,0
Fabiano Tormen,0,1,1,23,3,1,1,1,3,6,1,2,14,0,2014/1,2016/1,1.64,7.67,23,1,0
Jonatas Soares,0,0,0,22,4,1,2,1,5,10,0,0,8,3,2011/2,2013/1,2,5.5,22,0,0
Fabio Isensee,0,1,1,21,3,1,1,1,8,10,0,0,6,0,2009/2,2009/3,3.5,7,21,0,0
Felipe Gomes,0,0,0,21,2,0,1,1,2,8,2,1,7,0,2015/1,2018/1,3,10.5,N/A,0,0
Rademax Barbosa,0,0,0,21,0,0,0,0,0,3,0,0,9,0,2018/3,2019/1,2.33,N/A,N/A,0,0
Ronaldo Tsukamoto,0,0,0,21,3,3,0,0,6,8,2,3,6,2,2012/2,2013/2,2.63,7,7,1,0
Sergio Buch,0,0,0,21,3,1,2,0,4,7,0,0,9,0,2010/3,2018/3,2.33,7,21,0,0
Walisson Oliveira,0,0,0,21,1,0,1,0,2,8,0,0,6,0,2019/1,2020/3,3.5,21,N/A,0,0
Joao Almeida,0,1,1,20,9,4,2,3,14,16,2,1,4,0,2016/3,2018/1,5,2.22,5,0,0
Jorge Soares,0,0,0,20,1,0,0,1,2,3,0,0,6,0,2009/2,2009/3,3.33,20,N/A,0,0
Jose Antonio,0,0,0,20,0,0,0,0,1,3,0,0,13,0,2013/3,2015/1,1.54,N/A,N/A,0,0
Pedro Mega,1,1,2,20,9,5,4,0,12,15,5,4,1,0,2009/2,2009/3,20,2.22,4,3,1
Rodrigo Luan,0,0,0,20,2,0,0,2,3,7,0,0,10,0,2015/2,2016/3,2,10,N/A,0,0
Fabio Soga,1,1,2,19,6,2,1,3,7,11,0,0,5,0,2019/2,2019/3,3.8,3.17,9.5,0,0
Fernando Moreira,0,0,0,19,4,2,2,0,9,12,2,1,3,3,2016/1,2018/1,3.17,4.75,9.5,0,0
Geovane Carvalho,0,0,0,19,1,1,0,0,3,10,1,0,3,0,2014/3,2015/2,6.33,19,19,0,0
Ernesto Brock,0,0,0,18,1,0,1,0,2,8,0,2,4,0,2009/3,2011/1,4.5,18,N/A,0,0
Sergio Fujii,1,0,1,18,8,4,4,0,9,10,5,5,4,2,2013/2,2014/3,3,2.25,4.5,1,0
Cristiano Nico,0,0,0,17,1,0,0,1,1,9,0,0,5,1,2013/1,2013/3,2.83,17,N/A,0,0
Fabio Kagawa,0,1,1,17,0,0,0,0,3,5,0,0,8,0,2013/1,2014/2,2.13,N/A,N/A,0,0
Israel Mendes,0,0,0,17,0,0,0,0,0,1,0,0,5,0,2011/3,2012/2,3.4,N/A,N/A,0,0
Lucas Ripke,0,0,0,17,1,0,0,1,2,6,0,0,1,0,2020/3,2023/2,17,17,N/A,0,0
Neto Nascimento,0,0,0,17,6,1,2,3,10,12,1,1,3,0,2013/1,2013/2,5.67,2.83,17,1,0
Paulo Aurelio,0,0,0,17,5,1,3,1,8,10,0,1,1,1,2017/1,2018/1,8.5,3.4,17,0,0
Paulo Eduardo,1,1,2,17,5,4,1,0,8,9,3,7,2,0,2013/3,2014/1,8.5,3.4,4.25,2,1
Tercio Almeida,0,0,0,17,5,2,0,3,7,12,1,0,1,0,2021/1,2021/2,17,3.4,8.5,0,0
Tiago Oleinki,0,0,0,17,0,0,0,0,0,1,0,0,8,0,2021/1,2022/1,2.13,N/A,N/A,0,0
Daniele Ferraz,0,0,0,16,0,0,0,0,1,8,2,0,5,0,2013/2,2014/3,3.2,N/A,N/A,0,0
Iago Moraes,0,0,0,16,1,0,0,1,4,11,0,0,4,0,2019/3,2022/2,4,16,N/A,0,0
Marcos Felisberto,0,0,0,16,0,0,0,0,0,6,0,0,6,1,2016/1,2018/1,2.29,N/A,N/A,0,0
Luiza Biesus,0,0,0,15,4,0,3,1,6,11,0,0,3,0,2020/2,2021/1,5,3.75,N/A,0,0
Vinicius Melo,0,0,0,15,0,0,0,0,0,3,0,1,3,0,2013/3,2014/2,5,N/A,N/A,0,0
Augusto Zimmer,1,1,2,14,7,3,1,3,10,13,3,5,1,0,2014/2,2020/1,14,2,4.67,2,0
Georgeo Ribeiro,0,0,0,14,0,0,0,0,0,0,0,0,4,1,2015/3,2018/2,2.8,N/A,N/A,0,0
Joao Silveira,0,0,0,14,1,0,0,1,2,6,0,0,5,0,2018/2,2018/3,2.8,14,N/A,0,0
Marcelo Facchini,0,0,0,14,0,0,0,0,1,4,0,0,5,0,2015/2,2016/1,2.8,N/A,N/A,0,0
Rodrigo Vesule,0,0,0,14,0,0,0,0,1,6,0,0,4,0,2009/3,2009/3,3.5,N/A,N/A,0,0
Silas Viana,0,0,0,14,1,0,0,1,1,3,0,1,5,0,2019/2,2020/1,2.8,14,N/A,0,0
Gustavo Kupas,0,0,0,13,3,1,1,1,4,7,2,1,0,4,2012/1,2012/2,3.25,4.33,13,0,0
Jan Kloczko,0,0,0,13,2,1,0,1,4,4,0,0,3,0,2015/1,2015/1,4.33,6.5,13,0,0
Jethro Barros,0,0,0,13,0,0,0,0,2,6,0,0,2,1,2017/1,2018/1,4.33,N/A,N/A,0,0
Joao Marcelo,0,0,0,13,2,1,0,1,5,11,1,1,2,0,2016/1,2016/2,6.5,6.5,13,1,0
Leandro Morissawa,0,0,0,13,1,0,0,1,5,8,1,0,3,0,2014/1,2014/1,4.33,13,N/A,0,0
Leo Rodrigues,0,1,1,13,0,0,0,0,2,6,0,1,3,0,2020/2,2021/2,4.33,N/A,N/A,0,0
Luiz Silva,0,0,0,13,0,0,0,0,0,1,0,0,6,0,2018/1,2018/1,2.17,N/A,N/A,0,0
Marlus Brigola,0,0,0,13,1,0,1,0,2,4,0,0,0,0,2015/1,2015/2,0,13,N/A,0,0
Renato Goncalves,0,0,0,13,0,0,0,0,0,2,0,0,2,1,2015/1,2015/3,4.33,N/A,N/A,0,0
TH Lemos,0,0,0,13,0,0,0,0,0,3,0,0,2,0,2013/3,2014/1,6.5,N/A,N/A,0,0
Thiago Rosa,0,0,0,13,0,0,0,0,1,4,0,0,6,0,2016/3,2018/3,2.17,N/A,N/A,0,0
Caio Possati,0,0,0,12,3,0,3,0,3,6,0,0,2,0,2018/2,2018/3,6,4,N/A,0,0
Cleverson Pereira,0,0,0,12,1,0,0,1,2,4,0,0,0,2,2013/2,2013/3,6,12,N/A,0,0
Gustavo Kerlahkian,0,0,0,12,0,0,0,0,0,0,0,0,9,0,2010/2,2010/3,1.33,N/A,N/A,0,0
Leonardo Lopes,1,1,2,12,7,3,2,2,9,11,5,6,1,0,2013/3,2014/1,12,1.71,4,2,2
Mateus Monteiro,0,0,0,12,2,0,1,1,5,6,1,0,2,1,2016/2,2016/3,4,6,N/A,0,0
Matheus Serafim,0,0,0,12,0,0,0,0,0,3,0,0,6,0,2011/3,2012/3,2,N/A,N/A,0,0
Bernardo Junqueira,0,0,0,11,2,1,0,1,6,6,0,1,5,0,2010/3,2011/2,2.2,5.5,11,0,0
Flavio Araujo,0,0,0,11,0,0,0,0,0,0,0,0,7,0,2015/1,2015/2,1.57,N/A,N/A,0,0
Marcelo Barbugli,0,1,1,11,3,1,2,0,3,8,1,2,3,0,2013/3,2014/1,3.67,3.67,11,0,0
Olivio Boeira,0,0,0,11,0,0,0,0,3,5,0,0,3,1,2016/3,2017/1,2.75,N/A,N/A,0,0
Pancho Favoretto,0,0,0,11,0,0,0,0,1,5,0,0,0,1,2011/1,2011/2,11,N/A,N/A,0,0
Pedro de Oliveira,0,0,0,11,2,0,2,0,2,5,1,0,3,1,2013/3,2014/1,2.75,5.5,N/A,0,0
Rubens Serinolli,0,0,0,11,0,0,0,0,1,3,0,0,3,2,2016/2,2017/1,2.2,N/A,N/A,0,0
Breno Augusto,0,1,1,10,0,0,0,0,1,5,0,0,0,0,2014/1,2014/3,0,N/A,N/A,0,0
Cristian Rizzi,0,0,0,10,1,0,1,0,1,4,1,1,6,0,2009/2,2009/2,1.67,10,N/A,0,0
Gabriel Uhlmann,0,0,0,10,0,0,0,0,1,3,0,0,4,0,2011/3,2012/1,2.5,N/A,N/A,0,0
Gelson Machado,0,0,0,10,0,0,0,0,0,0,0,0,6,0,2018/1,2018/2,1.67,N/A,N/A,0,0
Henrique Guimaraes,0,0,0,10,0,0,0,0,0,1,0,0,6,0,2017/3,2018/2,1.67,N/A,N/A,0,0
Leandro Craveiro,0,0,0,10,2,2,0,0,2,5,0,1,0,1,2009/2,2009/2,10,5,5,0,0
Vinicius Drey,0,0,0,10,3,1,0,2,4,8,0,0,2,0,2009/2,2009/2,5,3.33,10,0,0
Gustavo Frigotto,0,0,0,9,0,0,0,0,1,2,0,0,7,0,2011/1,2011/2,1.29,N/A,N/A,0,0
Leonardo Tasca,0,0,0,9,3,0,2,1,4,6,0,1,0,0,2018/3,2019/3,0,3,N/A,0,0
Patrick Lopes,0,0,0,9,0,0,0,0,0,5,0,0,1,0,2023/1,2023/1,9,N/A,N/A,0,0
Andrey Fajardo,0,0,0,8,3,2,1,0,3,3,0,0,1,0,2022/3,2025-4,8,2.67,4,0,0
Jonas Fuhr,0,0,0,8,0,0,0,0,1,5,0,0,1,1,2011/1,2011/1,4,N/A,N/A,0,0
Rodrigo Ruggeri,0,0,0,8,0,0,0,0,2,5,0,0,1,0,2014/2,2014/2,8,N/A,N/A,0,0
Stenio Vargas,0,0,0,8,0,0,0,0,0,1,0,0,1,0,2020/1,2020/1,8,N/A,N/A,0,0
Adriano Fraporti,0,1,1,7,1,1,0,0,2,3,0,0,1,0,2012/1,2012/1,7,7,7,0,0
Adriano Matano,0,0,0,7,0,0,0,0,0,4,0,0,3,0,2018/3,2018/3,2.33,N/A,N/A,0,0
Alexander Franco,0,0,0,7,0,0,0,0,2,6,0,0,0,0,2015/2,2015/2,0,N/A,N/A,0,0
Anderson Reis,0,0,0,7,0,0,0,0,0,0,0,0,4,1,2009/3,2009/3,1.4,N/A,N/A,0,0
Atila Moss,0,0,0,7,1,0,1,0,1,2,0,0,0,1,2009/3,2009/3,7,7,N/A,0,0
Daniel Furiano,1,1,2,7,3,1,2,0,5,6,0,0,1,0,2012/1,2012/1,7,2.33,7,0,0
Elizeu Filho,0,0,0,7,1,0,1,0,2,6,0,0,0,0,2018/1,2018/1,0,7,N/A,0,0
Enrico Espada,0,0,0,7,1,0,1,0,2,3,0,0,3,0,2016/2,2016/3,2.33,7,N/A,0,0
Felipe Monteiro,0,0,0,7,1,0,0,1,2,6,1,1,1,0,2016/1,2016/1,7,7,N/A,0,0
Gus Scherer,0,1,1,7,0,0,0,0,0,2,0,0,0,0,2008/3,2009/1,0,N/A,N/A,0,0
Henrique Galleazzi,0,0,0,7,1,0,0,1,1,4,0,0,2,0,2009/2,2009/2,3.5,7,N/A,0,0
Hiago Cosmann,0,0,0,7,3,1,2,0,3,5,0,0,1,0,2019/1,2019/2,7,2.33,7,0,0
Igor Cruz,0,0,0,7,1,1,0,0,3,5,2,0,1,0,2014/2,2014/2,7,7,7,0,0
Izael Castro,0,0,0,7,1,0,0,1,3,5,0,0,1,0,2016/1,2016/1,7,7,N/A,0,0
Leandro Deodato,0,0,0,7,0,0,0,0,0,2,0,0,4,0,2015/2,2015/3,1.75,N/A,N/A,0,0
Leonardo Jafet,0,0,0,7,0,0,0,0,0,3,2,0,1,0,2012/1,2012/2,7,N/A,N/A,0,0
Luiz Pepe,0,0,0,7,0,0,0,0,1,2,1,0,2,1,2013/3,2013/3,2.33,N/A,N/A,0,0
Robson Nadur,0,0,0,7,0,0,0,0,1,2,1,0,4,0,2014/1,2014/1,1.75,N/A,N/A,0,0
Rodrigo Carvalho,0,0,0,7,0,0,0,0,0,1,0,0,6,0,2015/2,2015/2,1.17,N/A,N/A,0,0
Thiago Moro,0,0,0,7,0,0,0,0,0,0,0,0,3,0,2018/1,2018/1,2.33,N/A,N/A,0,0
William Sebastian,0,0,0,7,2,0,1,1,4,6,0,0,0,0,2013/2,2014/2,0,3.5,N/A,0,0
Adriano Freitas,0,0,0,6,1,0,1,0,4,4,2,0,2,0,2014/1,2014/1,3,6,N/A,0,0
Alex Couri,0,0,0,6,0,0,0,0,0,1,0,0,0,1,2014/1,2014/1,6,N/A,N/A,0,0
Emerson Moreno,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2016/1,2016/1,6,N/A,N/A,0,0
Eraldo Silva,0,0,0,6,1,1,0,0,2,2,0,0,2,1,2012/3,2013/1,2,6,6,0,0
Joao Bregonci,0,0,0,6,0,0,0,0,0,1,0,0,3,0,2013/2,2013/2,2,N/A,N/A,0,0
John Siqueira,0,0,0,6,0,0,0,0,0,0,0,0,2,1,2012/3,2012/3,2,N/A,N/A,0,0
Junior Feijo,0,0,0,6,1,1,0,0,1,3,0,0,0,0,2022/2,2022/2,0,6,6,0,0
Lucas Abreu,0,0,0,6,0,0,0,0,0,2,2,0,2,1,2013/3,2013/3,2,N/A,N/A,0,0
Marco Sorrilha,0,0,0,6,2,0,1,1,3,4,0,0,1,0,2015/2,2015/2,6,3,N/A,0,0
Ramon Barros,0,0,0,6,1,0,0,1,2,4,0,0,1,0,2014/1,2014/1,6,6,N/A,0,0
Wester Torres,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2020/3,2021/2,6,N/A,N/A,0,0
Adriano Dino,0,0,0,5,1,0,0,1,2,3,0,0,1,0,2013/3,2013/3,5,5,N/A,0,0
Caetano Paiva,0,0,0,5,0,0,0,0,2,4,0,0,1,0,2011/1,2011/1,5,N/A,N/A,0,0
Caio Russi,0,0,0,5,0,0,0,0,1,2,0,0,0,1,2013/1,2013/1,5,N/A,N/A,0,0
Edson Luiz,0,0,0,5,0,0,0,0,0,3,0,0,0,0,2012/1,2012/1,0,N/A,N/A,0,0
Elson Almeida,0,0,0,5,0,0,0,0,1,3,0,0,1,0,2016/1,2016/1,5,N/A,N/A,0,0
Fabio Junior,0,0,0,5,0,0,0,0,3,5,0,0,0,0,2019/1,2019/1,0,N/A,N/A,0,0
Gabriel Pereira,0,0,0,5,0,0,0,0,1,4,0,1,1,0,2015/1,2015/1,5,N/A,N/A,0,0
Marcelo Chelli,0,0,0,5,0,0,0,0,0,2,0,0,1,0,2015/3,2015/3,5,N/A,N/A,0,0
Rafael Bonifacio,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2012/1,2012/2,2.5,N/A,N/A,0,0
Rene Oliveira,0,0,0,5,0,0,0,0,0,2,0,0,1,0,2013/3,2013/3,5,N/A,N/A,0,0
Thiago Morais,0,0,0,5,1,0,0,1,1,1,0,0,2,0,2013/2,2013/2,2.5,5,N/A,0,0
Vitor Genz,0,0,0,5,0,0,0,0,0,1,0,0,4,0,2013/1,2013/1,1.25,N/A,N/A,0,0
Weldes Campos,0,0,0,5,0,0,0,0,0,0,0,0,3,0,2016/1,2016/1,1.67,N/A,N/A,0,0
Afonso Goncales,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2020/3,2020/3,0,N/A,N/A,0,0
Beto Monteiro,0,0,0,4,0,0,0,0,0,0,0,0,3,1,2013/1,2013/1,1,N/A,N/A,0,0
Carlos Cesar,0,0,0,4,1,0,0,1,1,1,0,0,1,1,2012/1,2012/1,2,4,N/A,0,0
Daniel Buck,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2012/2,2012/3,2,N/A,N/A,0,0
Daniel Ortega,0,0,0,4,0,0,0,0,1,2,0,0,0,0,2018/1,2018/1,0,N/A,N/A,0,0
Dorivaldo Ramalho,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2009/3,2009/3,1,N/A,N/A,0,0
